,PFA-0-1,PFA-0-2,PFA-1-1,PFA-1-2,PFA-2-1,PFA-2-2,PFA-3-1,PFA-3-2,PFA-4-1,PFA-4-2,PID-1-1,PID-1-2,PID-2-1,PID-2-2,PID-3-1,PID-3-2,PID-4-1,PID-4-2,SA_1.13-0-1
Units,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
0,104.130812,102.4680954,145.5001414,145.5001414,136.9866659,143.0429838,148.2026862,133.0731363,159.9538957,159.7768981,0.01466812,0.013367456,0.015695515,0.01466812,0.010857657,0.010517843,0.005212246,0.004071621,0.387
1,45.25713405,46.98679775,60.80923255,60.80923255,62.26340705,63.27103666,65.21924367,59.01568575,74.98958732,67.86064816,0.005625646,0.00508503,0.006419549,0.005625646,0.003926549,0.00422852,0.002158639,0.001472456,0.387
2,60.45352713,61.60590383,82.3400504,82.3400504,81.88624416,84.00176276,86.74212706,78.28080622,97.56756608,91.37518709,0.007848311,0.007114295,0.008757983,0.007848311,0.005590909,0.005803398,0.002932205,0.002096591,0.387
3,112.2602075,109.9348007,157.4141369,157.4141369,147.0857389,153.9659833,159.5932232,143.2009474,171.2669712,172.6088328,0.015992647,0.014585295,0.017013819,0.015992647,0.011901028,0.01141896,0.005643671,0.004462886,0.387
4,101.5409789,100.0816248,141.7136337,141.7136337,133.7605796,139.5594571,144.5711805,129.8426944,156.3332049,155.6946576,0.01424935,0.012982609,0.015277081,0.01424935,0.010528956,0.010232124,0.005075207,0.003948358,0.387
5,123.3364,120.0526876,173.7116835,173.7116835,160.7829688,168.8218132,175.0929929,156.971602,186.5624014,190.1332611,0.017820445,0.016267269,0.018821143,0.017820445,0.013349493,0.012656509,0.006234378,0.00500606,0.387
6,48.24842567,49.88659992,65.02366953,65.02366953,66.15083211,67.36199714,69.4634223,62.81885313,79.48226069,72.47403855,0.006055359,0.005476889,0.006875855,0.006055359,0.004245598,0.004535071,0.002309859,0.001592099,0.387
7,147.3176912,141.7659164,209.2270406,209.2270406,190.2204405,200.8931744,208.5827869,186.6873625,219.2669046,228.22056,0.02186061,0.019990148,0.022773732,0.02186061,0.016582523,0.015370724,0.007523577,0.006218446,0.387
8,82.52129239,82.42772051,114.052439,114.052439,109.9241578,113.915603,117.8564705,106.053469,129.4685671,125.8080528,0.011225404,0.01020668,0.012229236,0.011225404,0.008174091,0.008155792,0.004075334,0.003065284,0.387
9,85.74964306,85.44123113,118.7281929,118.7281929,113.9892399,118.2764003,122.3969215,110.1000012,134.0650471,130.8685966,0.011731928,0.010671257,0.012743258,0.011731928,0.008566084,0.00850533,0.004244187,0.003212282,0.387
10,89.79934842,89.21116263,124.6052226,124.6052226,119.0769772,123.7417914,128.0889492,115.1708487,139.8088258,137.2240719,0.012371371,0.011257988,0.013390048,0.012371371,0.00906242,0.008945536,0.004456518,0.003398408,0.387
11,96.31002927,95.24936482,134.0795905,134.0795905,127.2309066,132.5176603,137.2319994,123.3116988,148.9942476,147.458197,0.013408435,0.012210107,0.014434317,0.013408435,0.009870709,0.009657121,0.004799036,0.003701516,0.387
12,64.89994834,65.83582833,88.6914747,88.6914747,87.5744359,90.04532974,93.02331883,83.89403847,104.0701513,98.2885681,0.008515782,0.007724721,0.009450908,0.008515782,0.006096837,0.006271736,0.003160833,0.002286314,0.387
13,52.64914201,54.1319358,71.246013,71.246013,71.84663439,73.37089503,75.70027336,68.40369935,86.04631566,79.27541485,0.006694791,0.006060427,0.007550889,0.006694791,0.004722908,0.004989277,0.00253331,0.001771091,0.387
14,69.72727655,70.40708173,95.61016204,95.61016204,93.72627758,96.59676215,99.83532449,89.97760712,111.0841378,105.8090163,0.009248236,0.008395046,0.010207116,0.009248236,0.006654822,0.006783599,0.003410075,0.002495558,0.387
15,94.95740156,93.9971202,132.1086981,132.1086981,125.5393941,130.6954897,135.3332688,121.6215263,147.0907057,145.3303897,0.013192089,0.012011428,0.01421693,0.013192089,0.009701762,0.009508905,0.004727763,0.003638161,0.387
16,106.0022153,104.1901673,148.2390153,148.2390153,139.3151322,145.5590241,150.8259524,135.4062241,162.5650874,162.7284571,0.014971697,0.013646501,0.015998348,0.014971697,0.011096302,0.010724717,0.005311394,0.004161113,0.387
17,121.3395973,118.2331196,170.7683045,170.7683045,158.3187063,166.145772,172.3003025,154.4913359,183.8145142,186.9706377,0.017489041,0.015962191,0.018494413,0.017489041,0.013086162,0.012432608,0.00612765,0.004907311,0.387
18,76.48977923,76.77698534,105.3400156,105.3400156,102.3061694,105.7585829,109.3663585,98.48293965,120.8365287,116.3682866,0.010287091,0.009346553,0.011272858,0.010287091,0.007450842,0.007506209,0.003760903,0.002794066,0.387
19,67.50023347,68.30079448,92.41539526,92.41539526,90.89112577,93.57554942,96.69357576,87.17232161,107.8539772,102.337676,0.008909346,0.008084843,0.009857755,0.008909346,0.006396305,0.006547029,0.003294961,0.002398614,0.387
20,25.76881181,27.74067779,33.71987121,33.71987121,36.54128012,36.45604864,37.44905318,34.06447509,44.94106542,38.04206448,0.002943563,0.002646018,0.00350819,0.002943563,0.00197452,0.002284126,0.001189668,0.000740445,0.387
21,115.3644954,112.7767291,161.9744867,161.9744867,150.9316521,158.1325724,163.9395089,147.0635933,175.5670644,177.5157218,0.016502301,0.01505413,0.017519095,0.016502301,0.012303937,0.011764699,0.0058089,0.004613976,0.387
